Halaman,Nama Produk,Harga,Label Produk,Jenis Penyedia,Lokasi,Jumlah Terjual,Kategori,Status Produk,URL
7,Terpasang - Lampu Penerangan Jalan Umum Konvensional 90Watt Beserta Kelengkapannya ITECH SOLAR,"Rp 10.395.843,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/cv-mulia-berkahtama-abadi/terpasang-lampu-penerangan-jalan-umum-konvensional-90watt-beserta-kelengkapannya-itech-solar
7,LAMPU PENERANGAN JALAN UMUM (PJU) 90W,"Rp 3.954.821,00",PDN,UMKK,Kota Medan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-medan-jaya/lampu-penerangan-jalan-umum-pju-90w
7,LAMPU PENERANGAN JALAN UMUM (PJU) 90W,"Rp 3.954.821,00",PDN,UMKK,Kota Adm. Jakarta Barat,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-cerdas-inovasi/lampu-penerangan-jalan-umum-pju-90w
7,Lampu Penerangan Jalan Umum 60 Watt,"Rp 29.930.357,00",PDN,UMKK,Kab. Bandung,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-global/lampu-penerangan-jalan-umum-60-watt
7,Lampu Penerangan Jalan Umum 60 Watt,"Rp 29.930.357,00",PDN,UMKK,Kota Adm. Jakarta Barat,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-cerdas-inovasi/lampu-penerangan-jalan-umum-60-watt
7,TIANG OKTAGONAL LENGAN TUNGGAL TINGGI 7 METER UNTUK PENERANGAN JALAN UMUM,"Rp 8.824.500,00",PDN,UMKK,Kota Surakarta,0,Barang,Aktif,https://katalog.inaproc.id/arreal-nusantara/tiang-oktagonal-lengan-tunggal-tinggi-7-meter-untuk-penerangan-jalan-umum
7,Pemeliharaan Alat Penerangan Jalan Umum,"Rp 19.475.792,00",PDN,UMKK,Kota Adm. Jakarta Barat,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-cerdas-inovasi/pemeliharaan-alat-penerangan-jalan-umum
7,Pemeliharaan Alat Penerangan Jalan Umum,"Rp 19.475.792,00",PDN,UMKK,Kab. Semarang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-ageng-pradiksa/pemeliharaan-alat-penerangan-jalan-umum
7,Pemeliharaan Alat Penerangan Jalan Umum,"Rp 19.475.792,00",PDN,UMKK,Kab. Bandung,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-global/pemeliharaan-alat-penerangan-jalan-umum
7,Pemeliharaan Alat Penerangan Jalan Umum,"Rp 19.475.792,00",PDN,UMKK,Kota Surabaya,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-suroboyo-mandiri/pemeliharaan-alat-penerangan-jalan-umum
7,Pemeliharaan Alat Penerangan Jalan Umum,"Rp 19.750.000,00",PDN,UMKK,Kota Surabaya,0,Barang,Aktif,https://katalog.inaproc.id/jaya-inti-karya/pemeliharaan-alat-penerangan-jalan-umum
7,PENERANGAN JALAN UMUM TENAGA SURYA,"Rp 21.891.776,00",PDN,UMKK,Kota Adm. Jakarta Barat,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-cerdas-inovasi/penerangan-jalan-umum-tenaga-surya
7,PENERANGAN JALAN UMUM TENAGA SURYA,"Rp 21.891.776,00",PDN,UMKK,Kota Medan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-medan-jaya/penerangan-jalan-umum-tenaga-surya
7,Pemeliharaan Alat Penerangan Jalan Umum,"Rp 21.922.500,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik/pemeliharaan-alat-penerangan-jalan-umum
7,PENERANGAN JALAN UMUM TENAGA SURYA,"Rp 26.640.000,00",PDN,UMKK,Kota Palu,0,Barang,Pre Order,https://katalog.inaproc.id/metropolitan-palu/penerangan-jalan-umum-tenaga-surya
7,"Penerangan Jalan Umum (PJU) Lampu LED 60W, Tiang 7 Meter HDG","Rp 13.997.100,00",PDN,UMKK,Kota Cimahi,0,Barang,Aktif,https://katalog.inaproc.id/bagja-waluya-utama/penerangan-jalan-umum-pju-lampu-led-60w-tiang-7-meter-hdg
7,PENERANGAN JALAN UMUM TENAGA SURYA 60W + INSTALASI,"Rp 26.300.000,00",PDN,,Kota Adm. Jakarta Selatan,0,Barang,Aktif,https://katalog.inaproc.id/mahkota-erpan-jaya/penerangan-jalan-umum-tenaga-surya-60w-instalasi
7,Penerangan Jalan Umum Tenaga Surya (PJU Solar Cell),"Rp 48.000.000,00",PDN,UMKK,Kab. Bantul,0,Barang,Aktif,https://katalog.inaproc.id/aptaco-jili-sarki/penerangan-jalan-umum-tenaga-surya-pju-solar-cell
7,PENGADAAN DAN PEMASANGAN TIANG BANTU PENERANGAN JALAN UMUM TINGGI TIANG 9 METER,"Rp 26.250.000,00",PDN,UMKK,Kota Surakarta,0,Barang,Aktif,https://katalog.inaproc.id/arkadian-bintang-sejahtera/pengadaan-dan-pemasangan-tiang-bantu-penerangan-jalan-umum-tinggi-tiang-9-meter
7,PENERANGAN JALAN UMUM (PJU) TANPA TIANG,"Rp 6.666.000,00",PDN,UMKK,Kota Cirebon,182,Barang,Aktif,https://katalog.inaproc.id/citra-mandiri-bersama/penerangan-jalan-umum-pju-tanpa-tiang
7,Lampu Jalan / Lampu PJU ( Penerangan Jalan Umum ),"Rp 255.300,00",PDN,UMKK,Kab. Cilacap,10,Barang,Aktif,https://katalog.inaproc.id/surya-kusuma-maju/lampu-jalan-lampu-pju-penerangan-jalan-umum
7,LAMPU PENERANGAN JALAN UMUM (SL SERIES 100 L1 - 30 WATT PRISLED),"Rp 2.900.000,00",PDN,UMKK,Kota Tanjung Pinang,0,Barang,Aktif,https://katalog.inaproc.id/malika-bintan-gemilang/lampu-penerangan-jalan-umum-sl-series-100-l1-30-watt-prisled
7,LAMPU PENERANGAN JALAN UMUM (SL SERIES 100 L2 - 65 WATT PRISLED),"Rp 4.900.000,00",PDN,UMKK,Kota Tanjung Pinang,0,Barang,Aktif,https://katalog.inaproc.id/malika-bintan-gemilang/lampu-penerangan-jalan-umum-sl-series-100-l2-65-watt-prisled
7,LAMPU PENERANGAN JALAN UMUM 90 WATT LENGAN TUNGGAL 3 M MERK LAMPU SIKLON,"Rp 10.148.066,00",PDN,UMKK,Kota Medan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-medan-jaya/lampu-penerangan-jalan-umum-90-watt-lengan-tunggal-3-m-merk-lampu-siklon
7,LAMPU PENERANGAN JALAN UMUM 90 WATT LENGAN TUNGGAL 3 M MERK LAMPU SIKLON,"Rp 10.148.066,00",PDN,UMKK,Kota Adm. Jakarta Barat,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-cerdas-inovasi/lampu-penerangan-jalan-umum-90-watt-lengan-tunggal-3-m-merk-lampu-siklon
